id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,M_score,distance_center_km,R_value,R_score,F_score,Segment
41010604,New!  La Chada Night Market 1BR 2PPL near MRT,314945555,Nana,Huai Khwang,13.77148,100.5797,Entire home/apt,1057,1,11,2020-07-28,0.3,49,0,0,2,3.5955862866072246,883,5,3,New Visitors
41010931,30days! AirportLink Sukhumvit NANA MaxValu 2BR(4P),52161947,Noons,Ratchathewi,13.7493,100.55606,Entire home/apt,2527,3,4,2022-10-16,0.11,99,361,2,4,0.5763156778688242,73,1,2,At Risk
41090445,LONG STAY STUDIO BUDGET SUKHUMVIT 85* BTS ONNUT,48951367,Ong,Phra Khanong,13.70444,100.60652,Entire home/apt,600,28,2,2022-11-12,0.34,2,337,2,1,6.802565959691991,46,1,1,Inactive
41011307,New!  La Chada Night Market 1BR 2PPL near MRT,314945555,Nana,Wang Thong Lang,13.76781,100.60118,Entire home/apt,1057,1,8,2020-11-05,0.22,49,0,0,2,5.11839484403366,783,5,3,New Visitors
41093153,Golden Pagoda Hostel&Cafe,321406755,Golden,Phra Nakhon,13.76193,100.49838,Shared room,360,1,2,2022-11-23,0.06,1,365,1,1,6.877467200169956,35,1,1,Inactive
41011339,Stylish Cozy Studio/Free 1st BF,228012667,Midas,Phaya Thai,13.76607,100.54375,Entire home/apt,1316,1,1,2020-01-23,0.03,17,364,0,3,2.855820313925469,1070,5,1,Recent Visitors
41093376,*BUDGET STUDIO APARTMENT SUKHUMVIT 85 BTS ONNUT,48951367,Ong,Phra Khanong,13.70419,100.60691,Entire home/apt,950,1,2,2020-07-21,0.06,2,334,0,2,6.8524400145290905,890,5,1,Recent Visitors
41012403,KingBed Big 1 BR | Central BKK 4Stations | SmartTV,40392546,Tor,Suanluang,13.72437,100.64075,Entire home/apt,1164,7,4,2022-11-29,0.11,4,349,2,2,9.071243268486633,29,1,2,At Risk
41019875,Boutique apartment 5min walk to MRT Hualampong st.,25923645,Klai,Samphanthawong,13.73694,100.51537,Private room,3500,2,4,2022-11-14,0.11,2,358,3,5,4.8887595511588495,44,1,2,At Risk
41098336,Life62. BangchakBTS200m. Freewifi&swimming,138349971,星仪Iris,Phra Khanong,13.68904,100.60117,Entire home/apt,600,30,3,2022-12-07,0.09,3,324,2,1,7.690123245947797,21,1,2,At Risk
41020549,Modern Room with Hammock city /5min. BTS Surasak4b,23876548,Kate,Sathon,13.71428,100.52808,Private room,676,30,15,2022-12-14,0.42,9,87,5,1,4.8624836382088565,14,1,4,At Risk
41022754,"New Down Town CBD,MRT。娱乐办公全能，CBD中，地铁边，大型商场，火车夜市",1233171,Travis,Huai Khwang,13.75947,100.56864,Entire home/apt,1351,30,1,2020-02-05,0.03,6,99,0,3,1.8215064502297904,1057,5,1,Recent Visitors
41023569,Newly decorated studio/ high floor+ sky pool/ BKK,152018136,Tony,Khlong Toei,13.72616,100.56485,Entire home/apt,1051,1,41,2022-12-28,1.14,12,106,19,2,2.211547869180346,0,1,5,At Risk
41425280,Condo​ airport​ Link​ Ramkhamheng​ rama9,272714818,Doodduan,Suanluang,13.74306,100.60321,Private room,1000,2,2,2020-02-07,0.06,1,355,0,2,4.7119928874930865,1055,5,1,Recent Visitors
41430908,High-end Residents in Ekkamai中文服务,12464021,Rebecca,Vadhana,13.73964,100.59059,Entire home/apt,800,30,12,2022-09-28,0.38,21,305,4,1,3.401873240679776,91,1,3,At Risk
41099080,♛ Charming Black-Silver Studio 300m. MRT Thaphra ♛,321467168,Oh,Bangkok Yai,13.72759,100.47001,Entire home/apt,2200,1,1,2020-03-06,0.03,4,180,0,4,9.902481980540621,1027,5,1,Recent Visitors
41101152,Hidden Gems of Bangkok ★Black-Gold room 300m. MRT★,321467168,Oh,Bangkok Yai,13.72734,100.47001,Entire home/apt,1800,1,3,2022-12-17,1.96,4,174,3,4,9.90806133325128,11,1,2,At Risk
41439202,Apartment Sukhumvit 30 (500m. to Emquartier/BTS),132758342,Mo,Khlong Toei,13.72665,100.57402,Entire home/apt,1350,2,9,2022-10-23,0.25,10,348,3,3,2.597557469297212,66,1,3,At Risk
41441744,Amazing Spacious Bangkok Executive Accommodation,19266319,Alex,Khlong Toei,13.71296,100.59279,Entire home/apt,1499,28,6,2022-11-02,0.54,36,185,6,3,5.076016587475687,56,1,3,At Risk
41442380,Ideo Mobi Sukhumvit Esgate (14Fl),293561026,Supanut,Bang Na,13.66515,100.60393,Entire home/apt,850,3,10,2022-11-03,1.05,1,307,10,2,10.095454317640192,55,1,3,At Risk
41101164,"No.301, the Mustang Blu",321184297,Mustang,Pom Prap Sattru Phai,13.74019,100.51411,Private room,7600,1,28,2022-12-03,0.77,10,296,12,5,4.967181627544719,25,1,4,At Risk
41101378,"No.201, the Mustang Blu",321184297,Mustang,Pom Prap Sattru Phai,13.74003,100.5145,Private room,8200,1,12,2022-12-03,0.33,10,330,5,5,4.927449257019353,25,1,3,At Risk
41102185,❀ A Stylist Studio in Bangkok ❀ 300m. MRT Thaphra,321467168,Oh,Bangkok Yai,13.72773,100.47167,Entire home/apt,1500,1,1,2022-12-06,1.0,4,176,1,3,9.723496293174383,22,1,1,Inactive
41104063,曼谷别墅暹罗1号280平米/免费WI-FI/7-11超市/网红夜市/小区大型游泳池/送水果/超赞房源,251498427,婉淇,Bueng Kum,13.82463,100.64212,Entire home/apt,2239,2,9,2021-12-26,0.25,2,90,0,4,12.491300512391879,367,1,3,At Risk
41112764,"1 minute BTS Station.Siam,MBK,Central World near.ก",170532676,Sony,Ratchathewi,13.75227,100.52944,Private room,1177,1,9,2022-09-14,0.25,31,174,3,2,3.3585118158813385,105,1,3,At Risk
41113937,"No.202, the Mustang Blu",321184297,Mustang,Samphanthawong,13.73847,100.51422,Private room,6500,1,11,2022-12-06,0.3,10,343,7,5,4.981567295229907,22,1,3,At Risk
41114932,"No.203, the Mustang Blu",321184297,Mustang,Pom Prap Sattru Phai,13.73995,100.51543,Private room,6500,1,5,2022-11-21,0.14,10,347,2,5,4.8287666323034975,37,1,2,At Risk
41115086,"No.204, the Mustang Blu",321184297,Mustang,Pom Prap Sattru Phai,13.73949,100.51383,Private room,6500,1,4,2021-12-24,0.11,10,346,0,5,5.00696954136821,369,1,2,At Risk
41115210,"No.205, the Mustang Blu",321184297,Mustang,Samphanthawong,13.73795,100.51382,Private room,6500,1,4,2022-04-10,0.11,10,349,1,5,5.033544341017637,262,1,2,At Risk
41115751,"No.302, the Mustang Blu",321184297,Mustang,Pom Prap Sattru Phai,13.74024,100.51433,Private room,7000,1,22,2022-11-26,0.61,10,319,6,5,4.942900399002652,32,1,4,At Risk
41116332,"No.303, the Mustang Blu",321184297,Mustang,Pom Prap Sattru Phai,13.73986,100.51386,Private room,6500,1,11,2022-09-25,0.31,10,340,4,5,4.99846720715735,94,1,3,At Risk
41116499,"No.304, the Mustang Blu",321184297,Mustang,Pom Prap Sattru Phai,13.73817,100.51551,Private room,6500,1,1,2022-12-02,1.0,10,343,1,5,4.849263140228479,26,1,1,Inactive
41167450,"COZY ROOM near JJ Market , KU university",322677812,Nina,Chatu Chak,13.82971,100.57409,Entire home/apt,4424,1,4,2020-03-09,0.12,1,180,0,5,9.444652840611035,1024,5,2,New Visitors
41167560,100 Sqm Vintage Apartment JJ Market- Ari sky train,322674519,Varaporn,Phaya Thai,13.78589,100.54982,Private room,2014,1,2,2020-02-27,0.06,1,361,0,4,4.5940406558620674,1035,5,1,Recent Visitors
41173458,素坤逸50巷 酒店式公寓双床房【开间】 bts onnut,207453281,Hua,Khlong Toei,13.7061,100.59988,Entire home/apt,743,2,9,2022-11-20,0.26,20,109,6,1,6.154959204571936,38,1,3,At Risk
41182231,K#1-5 Minute walk to BTS Onnut Wifi WashingMachine,306704320,Kangaroo,Vadhana,13.70629,100.60432,Entire home/apt,999,3,5,2022-12-22,0.14,16,59,2,2,6.488753279571135,6,1,2,At Risk
41182810,K1❤️State Tower❤️High Floor❤️ SkyBar ❤️Luxury Room,306704320,Kangaroo,Bang Rak,13.72188,100.51616,Entire home/apt,4085,2,7,2022-11-18,0.71,16,84,7,5,5.387426697411354,40,1,3,At Risk
41186535,"1 minute BTS Station.Siam,MBK,Central World near.ง",170532676,Sony,Ratchathewi,13.75186,100.53182,Private room,1233,1,30,2022-12-26,0.82,31,160,18,3,3.097507143049869,2,1,4,At Risk
41186670,"1 minute BTS Station.Siam,MBK,Central World near.จ",170532676,Sony,Ratchathewi,13.75256,100.52979,Private room,1177,1,1,2020-01-17,0.03,31,178,0,2,3.328991733418431,1076,5,1,Recent Visitors
41445466,"BTS PhoNimit, 1BR Great facilities with WiFi",49929391,Tanya,Thon buri,13.71796,100.48197,Entire home/apt,700,3,34,2022-12-19,1.0,1,0,30,1,8.943978900272787,9,1,4,At Risk
41201991,Apartment w/pool near Grand Palace & Khaosan Road,119713961,Guide Duangruetai,Bang Phlat,13.77680852635495,100.48399909682009,Private room,900,2,9,2022-11-21,3.1,1,29,9,2,8.890329999566148,37,1,3,At Risk
41221421,Exquisite Art and One-Bedroom Apartment,128943709,Rain,Khlong Toei,13.70513,100.59219,Entire home/apt,1500,7,2,2021-07-18,0.06,26,137,0,3,5.682936333756464,528,1,1,Inactive
41116743,Luxury 1BR in Heart of Bangkok (INFINITY POOL),156396341,Beijia,Khlong Toei,13.72639,100.56529,Entire home/apt,1582,28,1,2020-01-09,0.03,1,177,0,3,2.1994959936191987,1084,5,1,Recent Visitors
41118812,素坤逸50巷 酒店式公寓【开间】特价双床房,207453281,Hua,Khlong Toei,13.70402,100.59975,Entire home/apt,743,2,5,2022-07-29,0.14,20,112,4,1,6.3104169936552035,152,1,2,At Risk
41119126,"Baan No.45 (unit B), house in center of Bangkok",317285255,Patty,Phra Nakhon,13.75484,100.49953,Entire home/apt,2100,2,27,2022-12-06,0.74,3,0,14,4,6.590247217845594,22,1,4,At Risk
41119242,"1 minute BTS Station.Siam,MBK,Central World near.ข",170532676,Sony,Ratchathewi,13.75212,100.52958,Private room,1177,1,4,2022-09-28,0.11,31,178,2,2,3.3400801873696055,91,1,2,At Risk
41120539,"Baan No.45 (unit C), house in center of Bangkok",317285255,Patty,Phra Nakhon,13.75647,100.49948,Entire home/apt,850,3,27,2022-12-26,0.74,3,0,14,2,6.626188916787439,2,1,4,At Risk
41121102,Luxury Asoke Condo アソークコンド 200m to MRT Phetchaburi,105749176,Chase,Vadhana,13.74528,100.56365,Entire home/apt,3948,60,8,2022-12-15,0.23,1,102,1,5,0.4264393433517655,13,1,3,At Risk
